,state_in,input_in,state_pred,state_out,timestamp,dt
194,"[7.07617, 5.33356, 1.45452, -0.816495, -0.571119, -0.0479193, 0.0697336, 9.58617, 6.90631, -1.16561, 3.05543, -1.56802, -0.631382]","[0.4819423529411765, 0.4869517647058824, 0.49176000000000003, 0.4844294117647059]","[7.6498, 5.70898, 1.37879, -0.775028, -0.622103, -0.0254042, 0.108048, 9.51472, 5.61539, -1.37951, 1.71337, -0.841432, -0.623328]","[7.64359, 5.70037, 1.38086, -0.775028, -0.622103, -0.0254042, 0.108048, 9.3099, 5.34091, -1.31478, 1.71337, -0.841432, -0.623328]",11.7,0.05999999999999872
195,"[7.64359, 5.70037, 1.38086, -0.775028, -0.622103, -0.0254042, 0.108048, 9.3099, 5.34091, -1.31478, 1.71337, -0.841432, -0.623328]","[0.4986741176470589, 0.5017658823529412, 0.5091635294117647, 0.5021588235294118]","[8.19732, 5.97946, 1.29255, -0.753293, -0.643723, -0.0205651, 0.13322, 9.13889, 3.97368, -1.63409, 0.544543, -0.332659, -0.593165]","[8.19102, 5.97238, 1.2942, -0.753293, -0.643723, -0.0205651, 0.13322, 8.93306, 3.7501, -1.58078, 0.544543, -0.332659, -0.593165]",11.76,0.0600000000000005
196,"[8.19102, 5.97238, 1.2942, -0.753293, -0.643723, -0.0205651, 0.13322, 8.93306, 3.7501, -1.58078, 0.544543, -0.332659, -0.593165]","[0.5225658823529412, 0.5232482352941177, 0.5319905882352941, 0.5272035294117647]","[8.7204, 6.1538, 1.18879, -0.749369, -0.644184, -0.0256853, 0.151041, 8.71111, 2.30911, -1.92506, -0.259585, -0.196492, -0.55354]","[8.71431, 6.14834, 1.19039, -0.749369, -0.644184, -0.0256853, 0.151041, 8.51303, 2.13899, -1.87215, -0.259585, -0.196492, -0.55354]",11.82,0.0600000000000005
197,"[8.71431, 6.14834, 1.19039, -0.749369, -0.644184, -0.0256853, 0.151041, 8.51303, 2.13899, -1.87215, -0.259585, -0.196492, -0.55354]","[0.552735294117647, 0.5514529411764706, 0.5601741176470588, 0.5586164705882353]","[9.21759, 6.2307, 1.06849, -0.756402, -0.631326, -0.0316758, 0.168168, 8.26239, 0.619136, -2.17511, -0.655566, -0.371875, -0.510894]","[9.21183, 6.22689, 1.07021, -0.756402, -0.631326, -0.0316758, 0.168168, 8.07549, 0.503336, -2.11805, -0.655566, -0.371875, -0.510894]",11.88,0.0600000000000005
198,"[9.21183, 6.22689, 1.07021, -0.756402, -0.631326, -0.0316758, 0.168168, 8.07549, 0.503336, -2.11805, -0.655566, -0.371875, -0.510894]","[0.5873717647058824, 0.5853082352941177, 0.5931964705882352, 0.5943223529411764]","[9.68788, 6.20875, 0.936029, -0.767368, -0.612016, -0.0324479, 0.188495, 7.79034, -1.093, -2.33406, -0.729949, -0.654829, -0.467199]","[9.68248, 6.2066, 0.937876, -0.767368, -0.612016, -0.0324479, 0.188495, 7.61516, -1.15477, -2.27305, -0.729949, -0.654829, -0.467199]",11.94,0.05999999999999872
199,"[9.68248, 6.2066, 0.937876, -0.767368, -0.612016, -0.0324479, 0.188495, 7.61516, -1.15477, -2.27305, -0.729949, -0.654829, -0.467199]","[0.6239717647058823, 0.6223623529411765, 0.6293329411764707, 0.631604705882353]","[10.1293, 6.08691, 0.797715, -0.777521, -0.591355, -0.0263952, 0.212281, 7.27265, -2.8163, -2.37802, -0.625085, -0.878998, -0.42365]","[10.1243, 6.08637, 0.799617, -0.777521, -0.591355, -0.0263952, 0.212281, 7.10941, -2.82559, -2.31576, -0.625085, -0.878998, -0.42365]",12.0,0.0600000000000005
200,"[10.1243, 6.08637, 0.799617, -0.777521, -0.591355, -0.0263952, 0.212281, 7.10941, -2.82559, -2.31576, -0.625085, -0.878998, -0.42365]","[0.6606611764705882, 0.6600082352941177, 0.6663458823529412, 0.668504705882353]","[10.5383, 5.86486, 0.660471, -0.784693, -0.57217, -0.0145577, 0.238048, 6.68342, -4.53586, -2.30356, -0.460637, -1.01632, -0.38153]","[10.5336, 5.86586, 0.662323, -0.784693, -0.57217, -0.0145577, 0.238048, 6.53324, -4.49492, -2.24347, -0.460637, -1.01632, -0.38153]",12.06,0.0600000000000005
201,"[10.5336, 5.86586, 0.662323, -0.784693, -0.57217, -0.0145577, 0.238048, 6.53324, -4.49492, -2.24347, -0.460637, -1.01632, -0.38153]","[0.6960917647058824, 0.6961035294117647, 0.7020764705882353, 0.7037858823529412]","[10.91, 5.54318, 0.530976, -0.788426, -0.5552, 0.00219013, 0.264826, 6.00054, -6.23509, -2.11901, -0.299407, -1.14006, -0.341655]","[10.9058, 5.54565, 0.532679, -0.788426, -0.5552, 0.00219013, 0.264826, 5.86547, -6.1465, -2.06429, -0.299407, -1.14006, -0.341655]",12.12,0.05999999999999872
202,"[10.9058, 5.54565, 0.532679, -0.788426, -0.5552, 0.00219013, 0.264826, 5.86547, -6.1465, -2.06429, -0.299407, -1.14006, -0.341655]","[0.7294176470588235, 0.7295011764705882, 0.7352, 0.7367882352941176]","[11.2382, 5.12352, 0.415283, -0.788827, -0.539733, 0.0245632, 0.292979, 5.20272, -7.89394, -1.8364, -0.156672, -1.33131, -0.304607]","[11.2345, 5.12737, 0.416757, -0.788827, -0.539733, 0.0245632, 0.292979, 5.08526, -7.76082, -1.7895, -0.156672, -1.33131, -0.304607]",12.18,0.0600000000000005
203,"[11.2345, 5.12737, 0.416757, -0.788827, -0.539733, 0.0245632, 0.292979, 5.08526, -7.76082, -1.7895, -0.156672, -1.33131, -0.304607]","[0.7600199999999999, 0.7597682352941176, 0.7650952941176471, 0.7669705882352942]","[11.5155, 4.60893, 0.318773, -0.785734, -0.524337, 0.0544342, 0.323618, 4.26381, -9.48428, -1.4671, -0.0256047, -1.61782, -0.271114]","[11.5124, 4.61403, 0.319969, -0.785734, -0.524337, 0.0544342, 0.323618, 4.16654, -9.31083, -1.42945, -0.0256047, -1.61782, -0.271114]",12.24,0.0600000000000005
204,"[11.5124, 4.61403, 0.319969, -0.785734, -0.524337, 0.0544342, 0.323618, 4.16654, -9.31083, -1.42945, -0.0256047, -1.61782, -0.271114]","[0.7873023529411765, 0.7866635294117647, 0.7914635294117647, 0.7937623529411765]","[11.7325, 4.00443, 0.246231, -0.778435, -0.50752, 0.0933055, 0.357431, 3.15229, -10.9659, -1.02222, 0.0996023, -1.95285, -0.241738]","[11.7301, 4.01061, 0.247136, -0.778435, -0.50752, 0.0933055, 0.357431, 3.07747, -10.7578, -0.994062, 0.0996023, -1.95285, -0.241738]",12.3,0.0600000000000005
205,"[11.7301, 4.01061, 0.247136, -0.778435, -0.50752, 0.0933055, 0.357431, 3.07747, -10.7578, -0.994062, 0.0996023, -1.95285, -0.241738]","[0.8108117647058823, 0.8100764705882353, 0.8143341176470589, 0.816790588235294]","[11.8782, 3.31771, 0.20177, -0.766049, -0.488206, 0.14072, 0.393728, 1.83924, -12.2872, -0.515918, 0.207233, -2.24019, -0.216236]","[11.8765, 3.32478, 0.202406, -0.766049, -0.488206, 0.14072, 0.393728, 1.78835, -12.0514, -0.496369, 0.207233, -2.24019, -0.216236]",12.36,0.05999999999999872
206,"[11.8765, 3.32478, 0.202406, -0.766049, -0.488206, 0.14072, 0.393728, 1.78835, -12.0514, -0.496369, 0.207233, -2.24019, -0.216236]","[0.8306811764705883, 0.8302741176470588, 0.8341941176470589, 0.8362764705882353]","[11.9399, 2.55971, 0.188548, -0.748385, -0.465685, 0.193885, 0.430657, 0.311721, -13.3922, 0.0319512, 0.259757, -2.41365, -0.193944]","[11.939, 2.56745, 0.188959, -0.748385, -0.465685, 0.193885, 0.430657, 0.285275, -13.1353, 0.0444119, 0.259757, -2.41365, -0.193944]",12.42,0.0600000000000005
207,"[11.939, 2.56745, 0.188959, -0.748385, -0.465685, 0.193885, 0.430657, 0.285275, -13.1353, 0.0444119, 0.259757, -2.41365, -0.193944]","[0.8470447058823529, 0.8470988235294117, 0.8508223529411765, 0.8521647058823529]","[11.9053, 1.74466, 0.208466, -0.726391, -0.437932, 0.249524, 0.467236, -1.41743, -14.2265, 0.599585, 0.17457, -2.56588, -0.174689]","[11.9051, 1.7529, 0.208704, -0.726391, -0.437932, 0.249524, 0.467236, -1.41975, -13.954, 0.606649, 0.17457, -2.56588, -0.174689]",12.48,0.0600000000000005
208,"[11.9051, 1.7529, 0.208704, -0.726391, -0.437932, 0.249524, 0.467236, -1.41975, -13.954, 0.606649, 0.17457, -2.56588, -0.174689]","[0.8600270588235294, 0.8597388235294118, 0.8630764705882353, 0.8641329411764707]","[11.7636, 0.890416, 0.261992, -0.700288, -0.400611, 0.306915, 0.504886, -3.28582, -14.7225, 1.15787, -0.0289765, -2.88256, -0.159741]","[11.7641, 0.899019, 0.262123, -0.700288, -0.400611, 0.306915, 0.504886, -3.26626, -14.4389, 1.16205, -0.0289765, -2.88256, -0.159741]",12.54,0.05999999999999872
209,"[11.7641, 0.899019, 0.262123, -0.700288, -0.400611, 0.306915, 0.504886, -3.26626, -14.4389, 1.16205, -0.0289765, -2.88256, -0.159741]","[0.8512058823529411, 0.8498105882352941, 0.8518882352941177, 0.8537035294117646]","[11.5092, 0.0191778, 0.347862, -0.667943, -0.350112, 0.366824, 0.544714, -5.20232, -14.8117, 1.67986, -0.232442, -3.29964, -0.149602]","[11.5102, 0.0280418, 0.348015, -0.667943, -0.350112, 0.366824, 0.544714, -5.16709, -14.5197, 1.68556, -0.232442, -3.29964, -0.149602]",12.6,0.0600000000000005
210,"[11.5102, 0.0280418, 0.348015, -0.667943, -0.350112, 0.366824, 0.544714, -5.16709, -14.5197, 1.68556, -0.232442, -3.29964, -0.149602]","[0.8253847058823529, 0.8237211764705882, 0.8241517647058823, 0.8264188235294118]","[11.1418, -0.843306, 0.463369, -0.627463, -0.287243, 0.426913, 0.584403, -7.06921, -14.4517, 2.13885, -0.387725, -3.55134, -0.143373]","[11.1431, -0.834137, 0.463682, -0.627463, -0.287243, 0.426913, 0.584403, -7.02498, -14.1488, 2.15023, -0.387725, -3.55134, -0.143373]",12.66,0.0600000000000005
211,"[11.1431, -0.834137, 0.463682, -0.627463, -0.287243, 0.426913, 0.584403, -7.02498, -14.1488, 2.15023, -0.387725, -3.55134, -0.143373]","[0.7884423529411765, 0.7878423529411764, 0.78688, 0.7883211764705882]","[10.667, -1.66998, 0.604049, -0.580321, -0.216838, 0.481232, 0.620181, -8.78313, -13.6541, 2.50433, -0.536024, -3.50274, -0.140463]","[10.6686, -1.66033, 0.604553, -0.580321, -0.216838, 0.481232, 0.620181, -8.72942, -13.3347, 2.52163, -0.536024, -3.50274, -0.140463]",12.72,0.0600000000000005
212,"[10.6686, -1.66033, 0.604553, -0.580321, -0.216838, 0.481232, 0.620181, -8.72942, -13.3347, 2.52163, -0.536024, -3.50274, -0.140463]","[0.7432517647058824, 0.7439941176470588, 0.7419329411764706, 0.7420070588235294]","[10.0971, -2.43621, 0.763574, -0.530925, -0.144399, 0.523332, 0.650685, -10.2511, -12.4928, 2.75541, -0.759793, -3.19205, -0.138482]","[10.0991, -2.426, 0.764173, -0.530925, -0.144399, 0.523332, 0.650685, -10.1786, -12.1555, 2.7751, -0.759793, -3.19205, -0.138482]",12.78,0.05999999999999872
213,"[10.0991, -2.426, 0.764173, -0.530925, -0.144399, 0.523332, 0.650685, -10.1786, -12.1555, 2.7751, -0.759793, -3.19205, -0.138482]","[0.6922941176470588, 0.6938717647058824, 0.6914894117647058, 0.6903635294117647]","[9.44938, -3.1235, 0.934829, -0.48398, -0.0737778, 0.548556, 0.677795, -11.4099, -11.0835, 2.89515, -1.09255, -2.72824, -0.133736]","[9.45234, -3.11291, 0.93541, -0.48398, -0.0737778, 0.548556, 0.677795, -11.307, -10.7357, 2.91397, -1.09255, -2.72824, -0.133736]",12.84,0.0600000000000005
214,"[9.45234, -3.11291, 0.93541, -0.48398, -0.0737778, 0.548556, 0.677795, -11.307, -10.7357, 2.91397, -1.09255, -2.72824, -0.133736]","[0.6373894117647059, 0.6392023529411766, 0.6372058823529412, 0.6353541176470587]","[8.74417, -3.7213, 1.11165, -0.442329, -0.00699532, 0.554686, 0.704712, -12.2337, -9.55332, 2.95001, -1.5049, -2.21482, -0.124004]","[8.74826, -3.71072, 1.1122, -0.442329, -0.00699532, 0.554686, 0.704712, -12.0932, -9.20813, 2.96789, -1.5049, -2.21482, -0.124004]",12.9,0.0600000000000005
215,"[8.74826, -3.71072, 1.1122, -0.442329, -0.00699532, 0.554686, 0.704712, -12.0932, -9.20813, 2.96789, -1.5049, -2.21482, -0.124004]","[0.57966, 0.5813188235294118, 0.5800976470588236, 0.5780023529411765]","[8.00188, -4.22676, 1.29006, -0.406399, 0.0551638, 0.54159, 0.73381, -12.7295, -8.01794, 2.95671, -1.93863, -1.73065, -0.109502]","[8.00716, -4.21661, 1.29064, -0.406399, 0.0551638, 0.54159, 0.73381, -12.5502, -7.68857, 2.97625, -1.93863, -1.73065, -0.109502]",12.96,0.0600000000000005
216,"[8.00716, -4.21661, 1.29064, -0.406399, 0.0551638, 0.54159, 0.73381, -12.5502, -7.68857, 2.97625, -1.93863, -1.73065, -0.109502]","[0.5200964705882353, 0.5214070588235294, 0.5210105882352941, 0.5190564705882352]","[7.24145, -4.64331, 1.46833, -0.374801, 0.112602, 0.510626, 0.765575, -12.9268, -6.56988, 2.94626, -2.33676, -1.32409, -0.0920676]","[7.24784, -4.63391, 1.46904, -0.374801, 0.112602, 0.510626, 0.765575, -12.712, -6.26655, 2.97061, -2.33676, -1.32409, -0.0920676]",13.02,0.05999999999999872
217,"[7.24784, -4.63391, 1.46904, -0.374801, 0.112602, 0.510626, 0.765575, -12.712, -6.26655, 2.97061, -2.33676, -1.32409, -0.0920676]","[0.45998470588235296, 0.4609094117647059, 0.4611458823529412, 0.45956588235294116]","[6.47935, -4.97896, 1.64617, -0.345363, 0.165515, 0.46433, 0.798578, -12.8687, -5.27573, 2.93368, -2.64808, -1.02048, -0.0737027]","[6.48668, -4.97054, 1.64708, -0.345363, 0.165515, 0.46433, 0.798578, -12.6238, -5.00508, 2.96482, -2.64808, -1.02048, -0.0737027]",13.08,0.0600000000000005
218,"[6.48668, -4.97054, 1.64708, -0.345363, 0.165515, 0.46433, 0.798578, -12.6238, -5.00508, 2.96482, -2.64808, -1.02048, -0.0737027]","[0.40091411764705887, 0.40149529411764706, 0.4021, 0.4010141176470588]","[5.72904, -5.2447, 1.82357, -0.31618, 0.214073, 0.406575, 0.83, -12.606, -4.17532, 2.91629, -2.81785, -0.823408, -0.0555935]","[5.73713, -5.23737, 1.82469, -0.31618, 0.214073, 0.406575, 0.83, -12.3374, -3.94101, 2.95432, -2.81785, -0.823408, -0.0555935]",13.14,0.0600000000000005
219,"[5.73713, -5.23737, 1.82469, -0.31618, 0.214073, 0.406575, 0.83, -12.3374, -3.94101, 2.95432, -2.81785, -0.823408, -0.0555935]","[0.34498, 0.34533294117647056, 0.3460917647058824, 0.3455211764705882]","[5.00075, -5.45292, 1.99981, -0.286542, 0.258092, 0.342677, 0.856653, -12.1935, -3.28306, 2.8784, -2.79997, -0.708206, -0.0382744]","[5.0094, -5.44674, 2.0011, -0.286542, 0.258092, 0.342677, 0.856653, -11.9078, -3.0862, 2.92151, -2.79997, -0.708206, -0.0382744]",13.2,0.05999999999999872
220,"[5.0094, -5.44674, 2.0011, -0.286542, 0.258092, 0.342677, 0.856653, -11.9078, -3.0862, 2.92151, -2.79997, -0.708206, -0.0382744]","[0.29344588235294117, 0.2937529411764706, 0.29451176470588236, 0.29436235294117646]","[4.30143, -5.61603, 2.17295, -0.257448, 0.296584, 0.278958, 0.876322, -11.6853, -2.59011, 2.80031, -2.56722, -0.614085, -0.0230939]","[4.31041, -5.61096, 2.17433, -0.257448, 0.296584, 0.278958, 0.876322, -11.3897, -2.42941, 2.84557, -2.56722, -0.614085, -0.0230939]",13.26,0.0600000000000005
221,"[4.31041, -5.61096, 2.17433, -0.257448, 0.296584, 0.278958, 0.876322, -11.3897, -2.42941, 2.84557, -2.56722, -0.614085, -0.0230939]","[0.2476258823529412, 0.2481635294117647, 0.24863058823529413, 0.24866117647058825]","[3.63483, -5.74515, 2.33992, -0.231521, 0.327319, 0.222052, 0.888793, -11.1308, -2.06948, 2.6675, -2.10764, -0.461447, -0.00827175]","[3.64392, -5.74109, 2.34129, -0.231521, 0.327319, 0.222052, 0.888793, -10.8328, -1.94123, 2.7121, -2.10764, -0.461447, -0.00827175]",13.32,0.0600000000000005
222,"[3.64392, -5.74109, 2.34129, -0.231521, 0.327319, 0.222052, 0.888793, -10.8328, -1.94123, 2.7121, -2.10764, -0.461447, -0.00827175]","[0.2076870588235294, 0.20874117647058824, 0.20970941176470587, 0.20963411764705883]","[3.00201, -5.84929, 2.49708, -0.211676, 0.348111, 0.177148, 0.895896, -10.5702, -1.68387, 2.47583, -1.51165, -0.246444, 0.0128255]","[3.011, -5.84608, 2.49839, -0.211676, 0.348111, 0.177148, 0.895896, -10.2767, -1.58236, 2.51828, -1.51165, -0.246444, 0.0128255]",13.38,0.0600000000000005
223,"[3.011, -5.84608, 2.49839, -0.211676, 0.348111, 0.177148, 0.895896, -10.2767, -1.58236, 2.51828, -1.51165, -0.246444, 0.0128255]","[0.17374588235294117, 0.1751494117647059, 0.17817411764705882, 0.17795764705882353]","[2.40201, -5.93503, 2.64095, -0.199498, 0.358477, 0.146058, 0.900201, -10.0304, -1.39473, 2.23122, -0.92247, -0.0117997, 0.0463372]","[2.41072, -5.93246, 2.64219, -0.199498, 0.358477, 0.146058, 0.900201, -9.74691, -1.3135, 2.27175, -0.92247, -0.0117997, 0.0463372]",13.44,0.05999999999999872
224,"[2.41072, -5.93246, 2.64219, -0.199498, 0.358477, 0.146058, 0.900201, -9.74691, -1.3135, 2.27175, -0.92247, -0.0117997, 0.0463372]","[0.14617058823529414, 0.14763882352941177, 0.15356235294117648, 0.15326941176470588]","[1.83282, -6.00671, 2.76873, -0.19467, 0.359967, 0.126874, 0.903565, -9.52428, -1.16914, 1.94635, -0.470426, 0.182129, 0.0952788]","[1.84113, -6.00461, 2.76994, -0.19467, 0.359967, 0.126874, 0.903565, -9.25419, -1.10247, 1.98623, -0.470426, 0.182129, 0.0952788]",13.5,0.0600000000000005
225,"[1.84113, -6.00461, 2.76994, -0.19467, 0.359967, 0.126874, 0.903565, -9.25419, -1.10247, 1.98623, -0.470426, 0.182129, 0.0952788]","[0.12556, 0.12681058823529412, 0.13589529411764706, 0.13567058823529413]","[1.29211, -6.06702, 2.87855, -0.195305, 0.356098, 0.114967, 0.90655, -9.0527, -0.982691, 1.63684, -0.243223, 0.268031, 0.159138]","[1.29997, -6.06526, 2.87978, -0.195305, 0.356098, 0.114967, 0.90655, -8.79735, -0.92655, 1.67747, -0.243223, 0.268031, 0.159138]",13.56,0.0600000000000005
226,"[1.29997, -6.06526, 2.87978, -0.195305, 0.356098, 0.114967, 0.90655, -8.79735, -0.92655, 1.67747, -0.243223, 0.268031, 0.159138]","[0.11275529411764706, 0.11340988235294117, 0.1253329411764706, 0.12534705882352942]","[0.777931, -6.11754, 2.96949, -0.199214, 0.350918, 0.105373, 0.908882, -8.60872, -0.819562, 1.31782, -0.201977, 0.254364, 0.234965]","[0.785347, -6.11604, 2.97077, -0.199214, 0.350918, 0.105373, 0.908882, -8.36789, -0.771626, 1.36019, -0.201977, 0.254364, 0.234965]",13.62,0.05999999999999872
227,"[0.785347, -6.11604, 2.97077, -0.199214, 0.350918, 0.105373, 0.908882, -8.36789, -0.771626, 1.36019, -0.201977, 0.254364, 0.234965]","[0.10739776470588236, 0.10744482352941176, 0.12147529411764706, 0.12165294117647057]","[0.288951, -6.15923, 3.04146, -0.205127, 0.346926, 0.0950368, 0.910238, -8.18141, -0.670033, 1.00303, -0.238269, 0.203312, 0.318032]","[0.295949, -6.15795, 3.0428, -0.205127, 0.346926, 0.0950368, 0.910238, -7.95408, -0.629143, 1.0476, -0.238269, 0.203312, 0.318032]",13.68,0.0600000000000005
228,"[0.295949, -6.15795, 3.0428, -0.205127, 0.346926, 0.0950368, 0.910238, -7.95408, -0.629143, 1.0476, -0.238269, 0.203312, 0.318032]","[0.10897329411764706, 0.10881023529411765, 0.12392, 0.12407764705882351]","[-0.175408, -6.19261, 3.09511, -0.212946, 0.344284, 0.0833617, 0.91059, -7.7591, -0.528014, 0.704693, -0.253296, 0.178041, 0.40321]","[-0.168795, -6.19153, 3.09653, -0.212946, 0.344284, 0.0833617, 0.91059, -7.54429, -0.49356, 0.751482, -0.253296, 0.178041, 0.40321]",13.74,0.0600000000000005
229,"[-0.168795, -6.19153, 3.09653, -0.212946, 0.344284, 0.0833617, 0.91059, -7.54429, -0.49356, 0.751482, -0.253296, 0.178041, 0.40321]","[0.11665505882352942, 0.1167675294117647, 0.13187058823529413, 0.13189294117647057]","[-0.615079, -6.21799, 3.13177, -0.223264, 0.341421, 0.0713651, 0.910215, -7.33221, -0.389381, 0.433286, -0.201396, 0.212494, 0.485897]","[-0.608836, -6.21709, 3.13325, -0.223264, 0.341421, 0.0713651, 0.910215, -7.12952, -0.36092, 0.481985, -0.201396, 0.212494, 0.485897]",13.8,0.0600000000000005
230,"[-0.608836, -6.21709, 3.13325, -0.223264, 0.341421, 0.0713651, 0.910215, -7.12952, -0.36092, 0.481985, -0.201396, 0.212494, 0.485897]","[0.12941176470588237, 0.13006, 0.1442270588235294, 0.1441235294117647]","[-1.02957, -6.23542, 3.15332, -0.236719, 0.336124, 0.0604078, 0.90958, -6.89502, -0.250907, 0.197772, -0.0890402, 0.312077, 0.562071]","[-1.0237, -6.2347, 3.15484, -0.236719, 0.336124, 0.0604078, 0.90958, -6.70473, -0.228041, 0.247798, -0.0890402, 0.312077, 0.562071]",13.86,0.05999999999999872
231,"[-1.0237, -6.2347, 3.15484, -0.236719, 0.336124, 0.0604078, 0.90958, -6.70473, -0.228041, 0.247798, -0.0890402, 0.312077, 0.562071]","[0.14618235294117649, 0.1473458823529412, 0.15984941176470588, 0.15969764705882353]","[-1.41822, -6.24482, 3.16211, -0.25354, 0.326443, 0.0512792, 0.909133, -6.44663, -0.109957, 0.00596047, 0.0496663, 0.461248, 0.628246]","[-1.41275, -6.24426, 3.16365, -0.25354, 0.326443, 0.0512792, 0.909133, -6.26945, -0.0923792, 0.0565119, 0.0496663, 0.461248, 0.628246]",13.92,0.0600000000000005
232,"[-1.41275, -6.24426, 3.16365, -0.25354, 0.326443, 0.0512792, 0.909133, -6.26945, -0.0923792, 0.0565119, 0.0496663, 0.461248, 0.628246]","[0.16579529411764704, 0.16728235294117647, 0.17755058823529413, 0.17746470588235294]","[-1.78051, -6.24597, 3.16091, -0.273379, 0.311233, 0.0438741, 0.909106, -5.99141, 0.0348406, -0.135964, 0.174469, 0.633959, 0.681349]","[-1.77546, -6.24556, 3.16245, -0.273379, 0.311233, 0.0438741, 0.909106, -5.82815, 0.0472735, -0.0859055, 0.174469, 0.633959, 0.681349]",13.98,0.0600000000000005
233,"[-1.77546, -6.24556, 3.16245, -0.273379, 0.311233, 0.0438741, 0.909106, -5.82815, 0.0472735, -0.0859055, 0.174469, 0.633959, 0.681349]","[0.18662117647058823, 0.1882023529411765, 0.1957435294117647, 0.19582588235294118]","[-2.11634, -6.23863, 3.1528, -0.295375, 0.290532, 0.0373771, 0.909367, -5.53815, 0.182614, -0.224181, 0.254194, 0.790466, 0.71844]","[-2.11173, -6.23838, 3.15429, -0.295375, 0.290532, 0.0373771, 0.909367, -5.38934, 0.189882, -0.175846, 0.254194, 0.790466, 0.71844]",14.04,0.05999999999999872
234,"[-2.11173, -6.23838, 3.15429, -0.295375, 0.290532, 0.0373771, 0.909367, -5.38934, 0.189882, -0.175846, 0.254194, 0.790466, 0.71844]","[0.20721647058823528, 0.20862705882352942, 0.2129941176470588, 0.2133635294117647]","[-2.4262, -6.22274, 3.14091, -0.318352, 0.265448, 0.0305868, 0.909535, -5.09878, 0.329141, -0.260044, 0.270444, 0.909957, 0.737084]","[-2.42203, -6.22266, 3.14231, -0.318352, 0.265448, 0.0305868, 0.909535, -4.96436, 0.331184, -0.214789, 0.270444, 0.909957, 0.737084]",14.1,0.0600000000000005
235,"[-2.42203, -6.22266, 3.14231, -0.318352, 0.265448, 0.0305868, 0.909535, -4.96436, 0.331184, -0.214789, 0.270444, 0.909957, 0.737084]","[0.22490470588235292, 0.22605882352941176, 0.22698470588235295, 0.22758705882352942]","[-2.71129, -6.1986, 3.12811, -0.3411, 0.237432, 0.0221584, 0.909278, -4.68494, 0.467167, -0.250199, 0.222806, 0.999171, 0.736368]","[-2.70754, -6.19867, 3.12939, -0.3411, 0.237432, 0.0221584, 0.909278, -4.56418, 0.464059, -0.209272, 0.222806, 0.999171, 0.736368]",14.16,0.0600000000000005
236,"[-2.70754, -6.19867, 3.12939, -0.3411, 0.237432, 0.0221584, 0.909278, -4.56418, 0.464059, -0.209272, 0.222806, 0.999171, 0.736368]","[0.23845529411764707, 0.2394635294117647, 0.23701411764705882, 0.23767882352941178]","[-2.97337, -6.16697, 3.11678, -0.362585, 0.20826, 0.0110558, 0.908316, -4.30516, 0.587605, -0.205424, 0.123064, 1.03345, 0.717302]","[-2.97001, -6.16719, 3.11789, -0.362585, 0.20826, 0.0110558, 0.908316, -4.19679, 0.579687, -0.169741, 0.123064, 1.03345, 0.717302]",14.22,0.0600000000000005
237,"[-2.97001, -6.16719, 3.11789, -0.362585, 0.20826, 0.0110558, 0.908316, -4.19679, 0.579687, -0.169741, 0.123064, 1.03345, 0.717302]","[0.24716352941176473, 0.24789764705882356, 0.24248588235294116, 0.24326470588235297]","[-3.21456, -6.12917, 3.10851, -0.382112, 0.180637, -0.0027187, 0.906285, -3.96313, 0.681903, -0.14011, 0.000458917, 0.964731, 0.682454]","[-3.21154, -6.12952, 3.10946, -0.382112, 0.180637, -0.0027187, 0.906285, -3.86555, 0.669876, -0.110075, 0.000458917, 0.964731, 0.682454]",14.28,0.05999999999999872
238,"[-3.21154, -6.12952, 3.10946, -0.382112, 0.180637, -0.0027187, 0.906285, -3.86555, 0.669876, -0.110075, 0.000458917, 0.964731, 0.682454]","[0.25069529411764707, 0.250904705882353, 0.24315058823529412, 0.24420117647058823]","[-3.43701, -6.08689, 3.10399, -0.399405, 0.157777, -0.0180776, 0.902915, -3.65745, 0.745237, -0.0726848, -0.121391, 0.784122, 0.635423]","[-3.43427, -6.08734, 3.10477, -0.399405, 0.157777, -0.0180776, 0.902915, -3.56896, 0.730119, -0.0480611, -0.121391, 0.784122, 0.635423]",14.34,0.0600000000000005
239,"[-3.43427, -6.08734, 3.10477, -0.399405, 0.157777, -0.0180776, 0.902915, -3.56896, 0.730119, -0.0480611, -0.121391, 0.784122, 0.635423]","[0.24793529411764706, 0.24757999999999997, 0.23820941176470586, 0.23945764705882353]","[-3.64263, -6.04193, 3.10273, -0.41444, 0.142181, -0.0341508, 0.898252, -3.3826, 0.778254, -0.0238448, -0.259126, 0.545092, 0.580245]","[-3.64013, -6.04245, 3.10336, -0.41444, 0.142181, -0.0341508, 0.898252, -3.30165, 0.761176, -0.00369575, -0.259126, 0.545092, 0.580245]",14.4,0.0600000000000005
240,"[-3.64013, -6.04245, 3.10336, -0.41444, 0.142181, -0.0341508, 0.898252, -3.30165, 0.761176, -0.00369575, -0.259126, 0.545092, 0.580245]","[0.23840823529411767, 0.23772588235294118, 0.22748235294117647, 0.22854941176470586]","[-3.83297, -5.99593, 3.10305, -0.427239, 0.134612, -0.051228, 0.892593, -3.13108, 0.785433, -0.0131337, -0.422343, 0.326983, 0.52074]","[-3.83066, -5.99648, 3.10358, -0.427239, 0.134612, -0.051228, 0.892593, -3.05639, 0.767381, 0.00410035, -0.422343, 0.326983, 0.52074]",14.46,0.0600000000000005
