,state_in,input_in,state_pred,state_out,timestamp,dt
10,"[-5.12065, 3.99534, 0.907336, 0.928917, 0.246185, 0.161624, -0.224465, -1.89741, -6.24058, 2.17905, -1.26218, 2.82879, -1.12862]","[0.7305823529411765, 0.7247317647058823, 0.7214388235294118, 0.7186282352941177]","[-5.2189, 3.58808, 1.07073, 0.914854, 0.214484, 0.255508, -0.227497, -1.3179, -7.32347, 3.25461, -1.78129, 2.6295, -1.17061]","[-5.21801, 3.59311, 1.06817, 0.914854, 0.214484, 0.255508, -0.227497, -1.29211, -7.15505, 3.1667, -1.78129, 2.6295, -1.17061]",0.66,0.06000000000000005
11,"[-5.21801, 3.59311, 1.06817, 0.914854, 0.214484, 0.255508, -0.227497, -1.29211, -7.15505, 3.1667, -1.78129, 2.6295, -1.17061]","[0.79128, 0.7817788235294119, 0.7867670588235294, 0.78566]","[-5.26672, 3.13069, 1.2911, 0.896945, 0.161655, 0.344231, -0.225526, -0.272599, -8.2291, 4.24045, -2.47556, 2.34718, -1.17545]","[-5.26657, 3.13636, 1.28786, 0.896945, 0.161655, 0.344231, -0.225526, -0.272482, -8.04046, 4.13088, -2.47556, 2.34718, -1.17545]",0.72,0.05999999999999994
12,"[-5.26657, 3.13636, 1.28786, 0.896945, 0.161655, 0.344231, -0.225526, -0.272482, -8.04046, 4.13088, -2.47556, 2.34718, -1.17545]","[0.843864705882353, 0.8332858823529412, 0.846135294117647, 0.8464870588235295]","[-5.24002, 2.62431, 1.56661, 0.873754, 0.0894164, 0.426751, -0.215505, 1.20938, -8.97865, 5.12212, -3.00019, 2.16824, -1.14024]","[-5.24083, 2.63045, 1.56284, 0.873754, 0.0894164, 0.426751, -0.215505, 1.17711, -8.77582, 4.99662, -3.00019, 2.16824, -1.14024]",0.78,0.06000000000000005
13,"[-5.24083, 2.63045, 1.56284, 0.873754, 0.0894164, 0.426751, -0.215505, 1.17711, -8.77582, 4.99662, -3.00019, 2.16824, -1.14024]","[0.8855882352941177, 0.8757552941176471, 0.8957847058823529, 0.8971282352941177]","[-5.11373, 2.08158, 1.88821, 0.842177, 0.00563589, 0.502, -0.19673, 3.09503, -9.45745, 5.79279, -3.28023, 2.04139, -1.064]","[-5.11562, 2.08797, 1.88413, 0.842177, 0.00563589, 0.502, -0.19673, 3.02687, -9.24744, 5.65825, -3.28023, 2.04139, -1.064]",0.84,0.05999999999999994
14,"[-5.11562, 2.08797, 1.88413, 0.842177, 0.00563589, 0.502, -0.19673, 3.02687, -9.24744, 5.65825, -3.28023, 2.04139, -1.064]","[0.9140894117647058, 0.9051835294117647, 0.9318211764705883, 0.9340447058823529]","[-4.86638, 1.52088, 2.24014, 0.8021, -0.0839742, 0.566567, -0.169073, 5.29088, -9.58773, 6.14015, -3.49439, 1.78824, -0.948071]","[-4.8694, 1.52733, 2.23596, 0.8021, -0.0839742, 0.566567, -0.169073, 5.18613, -9.37655, 6.00315, -3.49439, 1.78824, -0.948071]",0.9,0.06000000000000005
15,"[-4.8694, 1.52733, 2.23596, 0.8021, -0.0839742, 0.566567, -0.169073, 5.18613, -9.37655, 6.00315, -3.49439, 1.78824, -0.948071]","[0.9302611764705881, 0.9214988235294118, 0.9539376470588236, 0.9573788235294117]","[-4.48358, 0.964428, 2.60083, 0.756552, -0.179007, 0.615475, -0.129521, 7.65388, -9.31554, 6.08809, -3.8551, 1.30441, -0.79527]","[-4.48767, 0.97079, 2.59672, 0.756552, -0.179007, 0.615475, -0.129521, 7.51472, -9.10781, 5.95419, -3.8551, 1.30441, -0.79527]",0.96,0.05999999999999994
16,"[-4.48767, 0.97079, 2.59672, 0.756552, -0.179007, 0.615475, -0.129521, 7.51472, -9.10781, 5.95419, -3.8551, 1.30441, -0.79527]","[0.9351364705882353, 0.9261047058823529, 0.9630823529411764, 0.9678694117647058]","[-3.96041, 0.437773, 2.94568, 0.708053, -0.280991, 0.643836, -0.0719741, 10.0069, -8.58523, 5.61252, -4.41544, 0.618974, -0.6091]","[-3.9654, 0.443963, 2.94177, 0.708053, -0.280991, 0.643836, -0.0719741, 9.83938, -8.38313, 5.48551, -4.41544, 0.618974, -0.6091]",1.02,0.06000000000000005
17,"[-3.9654, 0.443963, 2.94177, 0.708053, -0.280991, 0.643836, -0.0719741, 9.83938, -8.38313, 5.48551, -4.41544, 0.618974, -0.6091]","[0.9295576470588235, 0.9206905882352941, 0.9604423529411764, 0.96614]","[-3.3034, -0.03006, 3.24994, 0.655816, -0.388408, 0.647267, 0.00944613, 12.1366, -7.34557, 4.7352, -5.07853, -0.17477, -0.393099]","[-3.30905, -0.0239784, 3.24626, 0.655816, -0.388408, 0.647267, 0.00944613, 11.9483, -7.14591, 4.61557, -5.07853, -0.17477, -0.393099]",1.08,0.06000000000000005
18,"[-3.30905, -0.0239784, 3.24626, 0.655816, -0.388408, 0.647267, 0.00944613, 11.9483, -7.14591, 4.61557, -5.07853, -0.17477, -0.393099]","[0.9127470588235295, 0.904929411764706, 0.945464705882353, 0.9511317647058822]","[-2.53302, -0.407917, 3.49138, 0.596426, -0.493906, 0.621916, 0.116422, 13.7916, -5.59713, 3.52494, -5.66063, -0.995682, -0.151132]","[-2.53925, -0.401685, 3.48786, 0.596426, -0.493906, 0.621916, 0.116422, 13.5832, -5.39091, 3.4101, -5.66063, -0.995682, -0.151132]",1.14,0.05999999999999983
19,"[-2.53925, -0.401685, 3.48786, 0.596426, -0.493906, 0.621916, 0.116422, 13.5832, -5.39091, 3.4101, -5.66063, -0.995682, -0.151132]","[0.8837941176470588, 0.8779011764705882, 0.9173811764705883, 0.9219058823529411]","[-1.68547, -0.667452, 3.65347, 0.527001, -0.584811, 0.566415, 0.243802, 14.7238, -3.45079, 2.11135, -5.96197, -1.75722, 0.109627]","[-1.69267, -0.660864, 3.65009, 0.527001, -0.584811, 0.566415, 0.243802, 14.4799, -3.23351, 2.00191, -5.96197, -1.75722, 0.109627]",1.2,0.06000000000000005
